Time,Displacement,Force
(s),(in),(lbf)
"0.0000","0.0000","0.0000"
"0.0200","0.0014","0.0081"
"0.0400","0.0081","0.0262"
"0.0600","0.0158","0.0139"
"0.0800","0.0223","-0.0032"
"0.1000","0.0286","-0.0033"
"0.1200","0.0351","0.0007"
"0.1400","0.0416","0.0011"
"0.1600","0.0482","0.0009"
"0.1800","0.0547","0.0017"
"0.2000","0.0613","0.0015"
"0.2200","0.0679","0.0014"
"0.2400","0.0745","0.0021"
"0.2600","0.0811","0.0024"
"0.2800","0.0877","0.0024"
"0.3000","0.0944","0.0022"
"0.3200","0.1010","0.0028"
"0.3400","0.1077","0.0032"
"0.3600","0.1143","0.0028"
"0.3800","0.1210","0.0034"
"0.4000","0.1276","0.0039"
"0.4200","0.1343","0.0037"
"0.4400","0.1409","0.0041"
"0.4600","0.1476","0.0049"
"0.4800","0.1542","0.0045"
"0.5000","0.1609","0.0046"
"0.5200","0.1675","0.0057"
"0.5400","0.1742","0.0053"
"0.5600","0.1809","0.0049"
"0.5800","0.1875","0.0055"
"0.6000","0.1942","0.0063"
"0.6200","0.2009","0.0058"
"0.6400","0.2075","0.0060"
"0.6600","0.2142","0.0064"
"0.6800","0.2208","0.0060"
"0.7000","0.2275","0.0067"
"0.7200","0.2342","0.0065"
"0.7400","0.2409","0.0066"
"0.7600","0.2475","0.0070"
"0.7800","0.2542","0.0073"
"0.8000","0.2608","0.0074"
"0.8200","0.2675","0.0072"
"0.8400","0.2742","0.0077"
"0.8600","0.2809","0.0078"
"0.8800","0.2875","0.0077"
"0.9000","0.2942","0.0078"
"0.9200","0.3009","0.0083"
"0.9400","0.3075","0.0083"
"0.9600","0.3142","0.0082"
"0.9800","0.3209","0.0086"
"1.0000","0.3275","0.0086"
"1.0200","0.3341","0.0088"
"1.0400","0.3408","0.0090"
"1.0600","0.3475","0.0091"
"1.0800","0.3542","0.0089"
"1.1000","0.3608","0.0091"
"1.1200","0.3675","0.0094"
"1.1400","0.3742","0.0092"
"1.1600","0.3809","0.0097"
"1.1800","0.3875","0.0099"
"1.2000","0.3942","0.0098"
"1.2200","0.4008","0.0097"
"1.2400","0.4075","0.0099"
"1.2600","0.4142","0.0104"
"1.2800","0.4209","0.0100"
"1.3000","0.4275","0.0102"
"1.3200","0.4342","0.0107"
"1.3400","0.4409","0.0106"
"1.3600","0.4475","0.0105"
"1.3800","0.4542","0.0108"
"1.4000","0.4608","0.0109"
"1.4200","0.4675","0.0107"
"1.4400","0.4742","0.0112"
"1.4600","0.4808","0.0111"
"1.4800","0.4875","0.0112"
"1.5000","0.4942","0.0114"
"1.5200","0.5008","0.0112"
"1.5400","0.5075","0.0114"
"1.5600","0.5142","0.0116"
"1.5800","0.5208","0.0119"
"1.6000","0.5275","0.0115"
"1.6200","0.5342","0.0117"
"1.6400","0.5408","0.0121"
"1.6600","0.5475","0.0121"
"1.6800","0.5542","0.0119"
"1.7000","0.5609","0.0121"
"1.7200","0.5675","0.0125"
"1.7400","0.5742","0.0122"
"1.7600","0.5808","0.0123"
"1.7800","0.5875","0.0126"
"1.8000","0.5942","0.0126"
"1.8200","0.6009","0.0125"
"1.8400","0.6075","0.0127"
"1.8600","0.6142","0.0128"
"1.8800","0.6209","0.0130"
"1.9000","0.6276","0.0131"
"1.9200","0.6342","0.0128"
"1.9400","0.6409","0.0128"
"1.9600","0.6475","0.0130"
"1.9800","0.6541","0.0133"
"2.0000","0.6608","0.0134"
"2.0200","0.6675","0.0132"
"2.0400","0.6742","0.0135"
"2.0600","0.6808","0.0136"
"2.0800","0.6875","0.0133"
"2.1000","0.6942","0.0136"
"2.1200","0.7008","0.0137"
"2.1400","0.7075","0.0137"
"2.1600","0.7142","0.0137"
"2.1800","0.7208","0.0141"
"2.2000","0.7275","0.0139"
"2.2200","0.7342","0.0139"
"2.2400","0.7409","0.0141"
"2.2600","0.7475","0.0139"
"2.2800","0.7542","0.0143"
"2.3000","0.7609","0.0144"
"2.3200","0.7675","0.0141"
"2.3400","0.7742","0.0141"
"2.3600","0.7809","0.0146"
"2.3800","0.7875","0.0145"
"2.4000","0.7942","0.0143"
"2.4200","0.8008","0.0145"
"2.4400","0.8075","0.0147"
"2.4600","0.8142","0.0148"
"2.4800","0.8208","0.0147"
"2.5000","0.8275","0.0149"
"2.5200","0.8342","0.0149"
"2.5400","0.8408","0.0148"
"2.5600","0.8475","0.0148"
"2.5800","0.8542","0.0150"
"2.6000","0.8608","0.0153"
"2.6200","0.8675","0.0152"
"2.6400","0.8742","0.0151"
"2.6600","0.8808","0.0153"
"2.6800","0.8875","0.0153"
"2.7000","0.8942","0.0154"
"2.7200","0.9008","0.0152"
"2.7400","0.9075","0.0155"
"2.7600","0.9142","0.0157"
"2.7800","0.9209","0.0157"
"2.8000","0.9275","0.0155"
"2.8200","0.9342","0.0155"
"2.8400","0.9409","0.0159"
"2.8600","0.9475","0.0158"
"2.8800","0.9542","0.0158"
"2.9000","0.9609","0.0159"
"2.9200","0.9675","0.0159"
"2.9400","0.9741","0.0160"
"2.9600","0.9808","0.0161"
"2.9800","0.9875","0.0163"
"3.0000","0.9942","0.0161"
"3.0200","1.0008","0.0162"
"3.0400","1.0075","0.0160"
"3.0600","1.0142","0.0163"
"3.0800","1.0209","0.0164"
"3.1000","1.0275","0.0162"
"3.1200","1.0342","0.0164"
"3.1400","1.0409","0.0164"
"3.1600","1.0475","0.0167"
"3.1800","1.0542","0.0166"
"3.2000","1.0608","0.0165"
"3.2200","1.0675","0.0166"
"3.2400","1.0742","0.0168"
"3.2600","1.0809","0.0169"
"3.2800","1.0875","0.0166"
"3.3000","1.0942","0.0168"
"3.3200","1.1008","0.0169"
"3.3400","1.1075","0.0171"
"3.3600","1.1142","0.0170"
"3.3800","1.1209","0.0170"
"3.4000","1.1275","0.0172"
"3.4200","1.1342","0.0170"
"3.4400","1.1408","0.0173"
"3.4600","1.1475","0.0173"
"3.4800","1.1542","0.0173"
"3.5000","1.1608","0.0172"
"3.5200","1.1675","0.0172"
"3.5400","1.1742","0.0175"
"3.5600","1.1808","0.0175"
"3.5800","1.1875","0.0176"
"3.6000","1.1942","0.0175"
"3.6200","1.2008","0.0176"
"3.6400","1.2075","0.0177"
"3.6600","1.2142","0.0177"
"3.6800","1.2209","0.0176"
"3.7000","1.2275","0.0177"
"3.7200","1.2342","0.0180"
"3.7400","1.2408","0.0177"
"3.7600","1.2475","0.0179"
"3.7800","1.2542","0.0180"
"3.8000","1.2609","0.0181"
"3.8200","1.2675","0.0181"
"3.8400","1.2742","0.0179"
